record_id,record_type,row_id,year,region,region_norm,title,url,videoId,video_id,videoId_is_valid,videoId_occurrences,is_duplicate_videoId,views,view_count,views_raw,views_is_missing,views_snapshot_date,metadata_snapshot_date,tags_list,tags,tags_raw,tag1,tag2,tag3,tag4,tag5,source_platform,license
youtube-video-dLXGohicxmI,youtube_video_metadata,11,2025,USA,usa,"HILO TRAVEL GUIDE 🌺🌴 | Things to Do in Hilo, Hawaii",https://youtu.be/dLXGohicxmI,dLXGohicxmI,dLXGohicxmI,True,1,False,5635,5635,5635,False,2026-02-10,2026-02-10,"[""hilo"", ""hilo hawaii"", ""hilo hawaii cruise port"", ""hilo hawaii things to do"", ""hilo hawaii travel guide""]","hilo, hilo hawaii, hilo hawaii cruise port, hilo hawaii things to do, hilo hawaii travel guide","hilo, hilo hawaii, hilo hawaii cruise port, hilo hawaii things to do, hilo hawaii travel guide",hilo,hilo hawaii,hilo hawaii cruise port,hilo hawaii things to do,hilo hawaii travel guide,YouTube,CC-BY-NC-4.0
youtube-video-wvsEoYwApWw,youtube_video_metadata,12,2025,USA,usa,"7 Days at Sea: Highs, Lows & Cabin Fever on a Pacific Crossing",https://youtu.be/wvsEoYwApWw,wvsEoYwApWw,wvsEoYwApWw,True,1,False,3860,3860,3860,False,2026-02-10,2026-02-10,"[""celebrity cruises"", ""celebrity solstice"", ""week at sea"", ""7 days at sea"", ""pacific crossing""]","celebrity cruises, celebrity solstice, week at sea, 7 days at sea, pacific crossing","celebrity cruises, celebrity solstice, week at sea, 7 days at sea, pacific crossing",celebrity cruises,celebrity solstice,week at sea,7 days at sea,pacific crossing,YouTube,CC-BY-NC-4.0
youtube-video-DwZmDqSomwc,youtube_video_metadata,13,2025,USA,usa,24-Hour Sea Day Challenge ⚓👨🏼‍✈️ | Celebrity Solstice Hawaii Cruise,https://youtu.be/DwZmDqSomwc,DwZmDqSomwc,DwZmDqSomwc,True,1,False,2919,2919,2919,False,2026-02-10,2026-02-10,"[""celebrity solstice cruise"", ""celebrity solstice"", ""celebrity solstice cruise ship"", ""celebrity solstice hawaii cruise"", ""celebrity solstice pacific ocean""]","celebrity solstice cruise, celebrity solstice, celebrity solstice cruise ship, celebrity solstice hawaii cruise, celebrity solstice pacific ocean","celebrity solstice cruise, celebrity solstice, celebrity solstice cruise ship, celebrity solstice hawaii cruise, celebrity solstice pacific ocean",celebrity solstice cruise,celebrity solstice,celebrity solstice cruise ship,celebrity solstice hawaii cruise,celebrity solstice pacific ocean,YouTube,CC-BY-NC-4.0
youtube-video-JV-ON-tbFJY,youtube_video_metadata,14,2025,Canada,canada,"Things to Do in CRANBROOK, BC 🌲 Cranbrook Travel Guide 🇨🇦",https://youtu.be/JV-ON-tbFJY,JV-ON-tbFJY,JV-ON-tbFJY,True,1,False,5976,5976,5976,False,2026-02-10,2026-02-10,"[""cranbrook"", ""cranbrook bc"", ""cranbrook british columbia"", ""cranbrook bc canada"", ""cranbrook things to do""]","cranbrook, cranbrook bc, cranbrook british columbia, cranbrook bc canada, cranbrook things to do","cranbrook, cranbrook bc, cranbrook british columbia, cranbrook bc canada, cranbrook things to do",cranbrook,cranbrook bc,cranbrook british columbia,cranbrook bc canada,cranbrook things to do,YouTube,CC-BY-NC-4.0
youtube-video-RoRAhuPKiRE,youtube_video_metadata,15,2025,Canada,canada,"Things to Do in FERNIE, BC 🌲🌻 Ultimate Fernie Travel Guide",https://youtu.be/RoRAhuPKiRE,RoRAhuPKiRE,RoRAhuPKiRE,True,1,False,5161,5161,5161,False,2026-02-10,2026-02-10,"[""fernie"", ""fernie bc"", ""fernie travel"", ""fernie travel guide"", ""fernie things to do""]","fernie, fernie bc, fernie travel, fernie travel guide, fernie things to do","fernie, fernie bc, fernie travel, fernie travel guide, fernie things to do",fernie,fernie bc,fernie travel,fernie travel guide,fernie things to do,YouTube,CC-BY-NC-4.0
youtube-video-e9hh8Ttt4Ho,youtube_video_metadata,16,2025,USA,usa,What to PACK for an ALASKA Cruise 🧳 😲 Minimalist Summer Packing List,https://youtu.be/e9hh8Ttt4Ho,e9hh8Ttt4Ho,e9hh8Ttt4Ho,True,1,False,3218,3218,3218,False,2026-02-10,2026-02-10,"[""what to pack for alaska"", ""alaska packing list"", ""packing for alaska"", ""alaska what to pack"", ""alaska cruise packing list""]","what to pack for alaska, alaska packing list, packing for alaska, alaska what to pack, alaska cruise packing list","what to pack for alaska, alaska packing list, packing for alaska, alaska what to pack, alaska cruise packing list",what to pack for alaska,alaska packing list,packing for alaska,alaska what to pack,alaska cruise packing list,YouTube,CC-BY-NC-4.0
youtube-video--fsDcOuDSso,youtube_video_metadata,17,2025,USA,usa,11+ Things That Surprised & Shocked Us on Our First Cruise! 😯🚢,https://youtu.be/-fsDcOuDSso,-fsDcOuDSso,-fsDcOuDSso,True,1,False,4695,4695,4695,False,2026-02-10,2026-02-10,"[""cruising"", ""first time cruising"", ""what to expect on your first cruise"", ""first time cruise tips"", ""first time cruise""]","cruising, first time cruising, what to expect on your first cruise, first time cruise tips, first time cruise","cruising, first time cruising, what to expect on your first cruise, first time cruise tips, first time cruise",cruising,first time cruising,what to expect on your first cruise,first time cruise tips,first time cruise,YouTube,CC-BY-NC-4.0
youtube-video-FhRUiS7Q_nM,youtube_video_metadata,18,2025,Canada,canada,BANFF National Park Adventure Travel Guide ⛰️🐴 Off-Grid Horseback Trip,https://youtu.be/FhRUiS7Q_nM,FhRUiS7Q_nM,FhRUiS7Q_nM,True,1,False,8143,8143,8143,False,2026-02-10,2026-02-10,"[""banff"", ""banff travel guide"", ""banff adventure travel guide"", ""banff alberta"", ""banff canada""]","banff, banff travel guide, banff adventure travel guide, banff alberta, banff canada","banff, banff travel guide, banff adventure travel guide, banff alberta, banff canada",banff,banff travel guide,banff adventure travel guide,banff alberta,banff canada,YouTube,CC-BY-NC-4.0
youtube-video-Icl7Wccs3SY,youtube_video_metadata,19,2025,Canada,canada,Hidden Gem in the Canadian Rockies ⛰️ 📸 Photo Safari in Waterton Lakes,https://youtu.be/Icl7Wccs3SY,Icl7Wccs3SY,Icl7Wccs3SY,True,1,False,9720,9720,9720,False,2026-02-10,2026-02-10,"[""omsystem"", ""rocky mountains"", ""waterton"", ""waterton lakes alberta"", ""om1""]","omsystem, rocky mountains, waterton, waterton lakes alberta, om1","omsystem, rocky mountains, waterton, waterton lakes alberta, om1",omsystem,rocky mountains,waterton,waterton lakes alberta,om1,YouTube,CC-BY-NC-4.0
youtube-video-6A4aPW6k_ik,youtube_video_metadata,20,2025,USA,usa,"Epic 7-Day ALASKA CRUISE Travel Guide 🚢 Itinerary, Ports & Ship Tour",https://youtu.be/6A4aPW6k_ik,6A4aPW6k_ik,6A4aPW6k_ik,True,1,False,9738,9738,9738,False,2026-02-10,2026-02-10,"[""alaska"", ""alaska cruise"", ""alaska cruise travel guide"", ""alaska cruise itinerary"", ""alaska cruise guide""]","alaska, alaska cruise, alaska cruise travel guide, alaska cruise itinerary, alaska cruise guide","alaska, alaska cruise, alaska cruise travel guide, alaska cruise itinerary, alaska cruise guide",alaska,alaska cruise,alaska cruise travel guide,alaska cruise itinerary,alaska cruise guide,YouTube,CC-BY-NC-4.0
youtube-video-j8uHM-9vSYs,youtube_video_metadata,21,2025,USA,usa,JUNEAU's Mendenhall Glacier and SITKA Port Tour 🧊❄️ ALASKA Cruise,https://youtu.be/j8uHM-9vSYs,j8uHM-9vSYs,j8uHM-9vSYs,True,1,False,27159,27159,27159,False,2026-02-10,2026-02-10,"[""alaska cruise"", ""juneau"", ""alaska"", ""alaska cruise juneau"", ""sitka alaska""]","alaska cruise, juneau, alaska, alaska cruise juneau, sitka alaska","alaska cruise, juneau, alaska, alaska cruise juneau, sitka alaska",alaska cruise,juneau,alaska,alaska cruise juneau,sitka alaska,YouTube,CC-BY-NC-4.0
youtube-video-7kYXaQnMd9k,youtube_video_metadata,22,2025,USA,usa,ICY STRAIT POINT: Alaska's Newest Cruise Port! 🧊🚠,https://youtu.be/7kYXaQnMd9k,7kYXaQnMd9k,7kYXaQnMd9k,True,1,False,24186,24186,24186,False,2026-02-10,2026-02-10,"[""alaska cruise"", ""icy strait point"", ""things to do in icy strait point"", ""alaska"", ""icy strait point things to do""]","alaska cruise, icy strait point, things to do in icy strait point, alaska, icy strait point things to do","alaska cruise, icy strait point, things to do in icy strait point, alaska, icy strait point things to do",alaska cruise,icy strait point,things to do in icy strait point,alaska,icy strait point things to do,YouTube,CC-BY-NC-4.0
youtube-video-2xgUI9dpn3E,youtube_video_metadata,23,2025,USA,usa,"LUMBERJACKS + CRAB FEAST & Things to Do in Ketchikan, Alaska 🌲🪓",https://youtu.be/2xgUI9dpn3E,2xgUI9dpn3E,2xgUI9dpn3E,True,1,False,19486,19486,19486,False,2026-02-10,2026-02-10,"[""ketchikan alaska"", ""alaska cruise"", ""ketchikan things to do"", ""things to do in ketchikan alaska"", ""ketchikan""]","ketchikan alaska, alaska cruise, ketchikan things to do, things to do in ketchikan alaska, ketchikan","ketchikan alaska, alaska cruise, ketchikan things to do, things to do in ketchikan alaska, ketchikan",ketchikan alaska,alaska cruise,ketchikan things to do,things to do in ketchikan alaska,ketchikan,YouTube,CC-BY-NC-4.0
youtube-video-Pzb4HFqobxs,youtube_video_metadata,24,2025,USA,usa,ALASKA Cruise Adventure! 🚢☀️ Norwegian Sun Ship and Inside Cabin Tour,https://youtu.be/Pzb4HFqobxs,Pzb4HFqobxs,Pzb4HFqobxs,True,1,False,8942,8942,8942,False,2026-02-10,2026-02-10,"[""alaska cruise"", ""alaskan cruise"", ""norwegian sun"", ""norwegian sun tour"", ""norwegian sun cruise ship""]","alaska cruise, alaskan cruise, norwegian sun, norwegian sun tour, norwegian sun cruise ship","alaska cruise, alaskan cruise, norwegian sun, norwegian sun tour, norwegian sun cruise ship",alaska cruise,alaskan cruise,norwegian sun,norwegian sun tour,norwegian sun cruise ship,YouTube,CC-BY-NC-4.0
youtube-video-vyOB5sS6jhM,youtube_video_metadata,25,2025,Canada,canada,"24 Hours in Vancouver, BC 🚢 SkyTrain, Gastown & Stanley Park",https://youtu.be/vyOB5sS6jhM,vyOB5sS6jhM,vyOB5sS6jhM,True,1,False,20397,20397,20397,False,2026-02-10,2026-02-10,"[""vancouver"", ""24 hours in vancouver"", ""1 day in vancouver"", ""vancouver bc"", ""vancouver canada""]","vancouver, 24 hours in vancouver, 1 day in vancouver, vancouver bc, vancouver canada","vancouver, 24 hours in vancouver, 1 day in vancouver, vancouver bc, vancouver canada",vancouver,24 hours in vancouver,1 day in vancouver,vancouver bc,vancouver canada,YouTube,CC-BY-NC-4.0
youtube-video-bBXHrxjTxPA,youtube_video_metadata,26,2025,Canada,canada,10 Travel MONEY MISTAKES Everyone Makes & How to Avoid Them!,https://youtu.be/bBXHrxjTxPA,bBXHrxjTxPA,bBXHrxjTxPA,True,1,False,5451,5451,5451,False,2026-02-10,2026-02-10,"[""travel mistakes"", ""travel money mistakes"", ""money travel mistakes"", ""money mistakes"", ""money travel tips""]","travel mistakes, travel money mistakes, money travel mistakes, money mistakes, money travel tips","travel mistakes, travel money mistakes, money travel mistakes, money mistakes, money travel tips",travel mistakes,travel money mistakes,money travel mistakes,money mistakes,money travel tips,YouTube,CC-BY-NC-4.0
youtube-video-7vRgnB5IANc,youtube_video_metadata,27,2025,Peru,peru,"1 Month PERU Travel Itinerary 🇵🇪🦙 | EPIC Coast, Andes & Amazon Guide",https://youtu.be/7vRgnB5IANc,7vRgnB5IANc,7vRgnB5IANc,True,1,False,11061,11061,11061,False,2026-02-10,2026-02-10,"[""peru itinerary"", ""peru travel itinerary"", ""peru"", ""peru 1 month itinerary"", ""peru trip itinerary""]","peru itinerary, peru travel itinerary, peru, peru 1 month itinerary, peru trip itinerary","peru itinerary, peru travel itinerary, peru, peru 1 month itinerary, peru trip itinerary",peru itinerary,peru travel itinerary,peru,peru 1 month itinerary,peru trip itinerary,YouTube,CC-BY-NC-4.0
youtube-video-8T61nF-KUJM,youtube_video_metadata,28,2025,Peru,peru,Our Life in Lima Vlog 🇵🇪🌞 Exploring Miraflores & Peruvian Cuisine,https://youtu.be/8T61nF-KUJM,8T61nF-KUJM,8T61nF-KUJM,True,1,False,9496,9496,9496,False,2026-02-10,2026-02-10,"[""life in lima"", ""life in lima vlog"", ""exploring miraflores"", ""peruvian cuisine"", ""our life in lima vlog""]","life in lima, life in lima vlog, exploring miraflores, peruvian cuisine, our life in lima vlog","life in lima, life in lima vlog, exploring miraflores, peruvian cuisine, our life in lima vlog",life in lima,life in lima vlog,exploring miraflores,peruvian cuisine,our life in lima vlog,YouTube,CC-BY-NC-4.0
youtube-video-k0lMYNnrHkM,youtube_video_metadata,29,2025,Peru,peru,"11 SHOCKING Truths About LIMA, Peru Every Traveller Must Know!",https://youtu.be/k0lMYNnrHkM,k0lMYNnrHkM,k0lMYNnrHkM,True,1,False,27384,27384,27384,False,2026-02-10,2026-02-10,"[""lima advice"", ""lima tips"", ""lima"", ""lima travel mistakes"", ""lima peru""]","lima advice, lima tips, lima, lima travel mistakes, lima peru","lima advice, lima tips, lima, lima travel mistakes, lima peru",lima advice,lima tips,lima,lima travel mistakes,lima peru,YouTube,CC-BY-NC-4.0
youtube-video-ahBxrX5YY3U,youtube_video_metadata,30,2025,Peru,peru,I Went on a PERUVIAN FOOD Tour in BARRANCO 🇵🇪 | Lima’s Coolest District,https://youtu.be/ahBxrX5YY3U,ahBxrX5YY3U,ahBxrX5YY3U,True,1,False,14611,14611,14611,False,2026-02-10,2026-02-10,"[""barranco food tour"", ""food tour barranco"", ""barranco food"", ""peruvian food tour"", ""peruvian food tour barranco""]","barranco food tour, food tour barranco, barranco food, peruvian food tour, peruvian food tour barranco","barranco food tour, food tour barranco, barranco food, peruvian food tour, peruvian food tour barranco",barranco food tour,food tour barranco,barranco food,peruvian food tour,peruvian food tour barranco,YouTube,CC-BY-NC-4.0
youtube-video-mPF8z3Dmcxs,youtube_video_metadata,31,2025,Peru,peru,Our WEEKEND TRIP from Lima to Chincha! 🌴🌞 Visiting Hacienda San Jose,https://youtu.be/mPF8z3Dmcxs,mPF8z3Dmcxs,mPF8z3Dmcxs,True,1,False,40706,40706,40706,False,2026-02-10,2026-02-10,"[""weekend trip from lima"", ""weekend escape from lima"", ""weekend trips from lima"", ""lima weekend trips"", ""weekend getaway from lima""]","weekend trip from lima, weekend escape from lima, weekend trips from lima, lima weekend trips, weekend getaway from lima","weekend trip from lima, weekend escape from lima, weekend trips from lima, lima weekend trips, weekend getaway from lima",weekend trip from lima,weekend escape from lima,weekend trips from lima,lima weekend trips,weekend getaway from lima,YouTube,CC-BY-NC-4.0
youtube-video-3Y_jSbMdszg,youtube_video_metadata,32,2025,Peru,peru,"Miraflores Food Guide: 5 Mouth-Watering Restaurants in Lima, Peru!",https://youtu.be/3Y_jSbMdszg,3Y_jSbMdszg,3Y_jSbMdszg,True,1,False,17801,17801,17801,False,2026-02-10,2026-02-10,"[""miraflores food guide"", ""miraflores restaurante guide"", ""miraflores lima food guide"", ""best restaurants miraflores"", ""miraflores restaurants""]","miraflores food guide, miraflores restaurante guide, miraflores lima food guide, best restaurants miraflores, miraflores restaurants","miraflores food guide, miraflores restaurante guide, miraflores lima food guide, best restaurants miraflores, miraflores restaurants",miraflores food guide,miraflores restaurante guide,miraflores lima food guide,best restaurants miraflores,miraflores restaurants,YouTube,CC-BY-NC-4.0
youtube-video-fDrtw3dKtE4,youtube_video_metadata,33,2025,Peru,peru,"Lima Food Tour: 7 Must-Try Peruvian Dishes in Miraflores, Peru! 🥭😋",https://youtu.be/fDrtw3dKtE4,fDrtw3dKtE4,fDrtw3dKtE4,True,1,False,18247,18247,18247,False,2026-02-10,2026-02-10,"[""lima food tour"", ""food tour in lima"", ""miraflores food tour"", ""lima food guide"", ""lima food vlog""]","lima food tour, food tour in lima, miraflores food tour, lima food guide, lima food vlog","lima food tour, food tour in lima, miraflores food tour, lima food guide, lima food vlog",lima food tour,food tour in lima,miraflores food tour,lima food guide,lima food vlog,YouTube,CC-BY-NC-4.0
youtube-video-Z6OBOvCxb0U,youtube_video_metadata,34,2025,Canada,canada,Flying With a Baby for the First Time (What We Did RIGHT + 1 BIG Mistake),https://youtu.be/Z6OBOvCxb0U,Z6OBOvCxb0U,Z6OBOvCxb0U,True,1,False,11476,11476,11476,False,2026-02-10,2026-02-10,"[""flying with a baby"", ""first time flying with a baby"", ""flying with a baby for the first time"", ""baby flying for first time"", ""flying with baby vlog""]","flying with a baby, first time flying with a baby, flying with a baby for the first time, baby flying for first time, flying with baby vlog","flying with a baby, first time flying with a baby, flying with a baby for the first time, baby flying for first time, flying with baby vlog",flying with a baby,first time flying with a baby,flying with a baby for the first time,baby flying for first time,flying with baby vlog,YouTube,CC-BY-NC-4.0
youtube-video-NrFnDLrECzg,youtube_video_metadata,35,2025,USA,usa,"SEDONA TRAVEL GUIDE 🌵🤠 Best Things to DO, See & Eat in Sedona, Arizona",https://youtu.be/NrFnDLrECzg,NrFnDLrECzg,NrFnDLrECzg,True,1,False,15317,15317,15317,False,2026-02-10,2026-02-10,"[""sedona travel guide"", ""sedona travel"", ""things to do in sedona"", ""sedona things to do"", ""sedona""]","sedona travel guide, sedona travel, things to do in sedona, sedona things to do, sedona","sedona travel guide, sedona travel, things to do in sedona, sedona things to do, sedona",sedona travel guide,sedona travel,things to do in sedona,sedona things to do,sedona,YouTube,CC-BY-NC-4.0
youtube-video-ZaLGsSOa4cw,youtube_video_metadata,36,2025,USA,usa,Tucson Mexican Food Tour 🌮 & Desert Hockey Night in Arizona 🌵🏒,https://youtu.be/ZaLGsSOa4cw,ZaLGsSOa4cw,ZaLGsSOa4cw,True,1,False,7308,7308,7308,False,2026-02-10,2026-02-10,"[""best mexican food in tucson"", ""hockey in the desert"", ""tucson arizona"", ""wolters world"", ""yellow productions""]","best mexican food in tucson, hockey in the desert, tucson arizona, wolters world, yellow productions","best mexican food in tucson, hockey in the desert, tucson arizona, wolters world, yellow productions",best mexican food in tucson,hockey in the desert,tucson arizona,wolters world,yellow productions,YouTube,CC-BY-NC-4.0
youtube-video-boBcmhjBaqk,youtube_video_metadata,37,2025,Canada,canada,"Discover Nova Scotia's ANNAPOLIS VALLEY: Forts, Bay of Fundy & Seafood!",https://youtu.be/boBcmhjBaqk,boBcmhjBaqk,boBcmhjBaqk,True,1,False,9242,9242,9242,False,2026-02-10,2026-02-10,"[""annapolis valley"", ""annapolis valley nova scotia"", ""annapolis royal"", ""annapolis valley travel"", ""fort anne national historic site""]","annapolis valley, annapolis valley nova scotia, annapolis royal, annapolis valley travel, fort anne national historic site","annapolis valley, annapolis valley nova scotia, annapolis royal, annapolis valley travel, fort anne national historic site",annapolis valley,annapolis valley nova scotia,annapolis royal,annapolis valley travel,fort anne national historic site,YouTube,CC-BY-NC-4.0
youtube-video-aViREMZiAOo,youtube_video_metadata,38,2025,Canada,canada,Exploring NOVA SCOTIA's South Shore 🐚⛵ | Lunenburg & LaHave Islands,https://youtu.be/aViREMZiAOo,aViREMZiAOo,aViREMZiAOo,True,1,False,8685,8685,8685,False,2026-02-10,2026-02-10,"[""south shore nova scotia"", ""nova scotia"", ""south shore"", ""nova scotia road trip"", ""nova scotia south shore""]","south shore nova scotia, nova scotia, south shore, nova scotia road trip, nova scotia south shore","south shore nova scotia, nova scotia, south shore, nova scotia road trip, nova scotia south shore",south shore nova scotia,nova scotia,south shore,nova scotia road trip,nova scotia south shore,YouTube,CC-BY-NC-4.0
youtube-video-_4zin1w00fg,youtube_video_metadata,39,2025,Canada,canada,NOVA SCOTIA Road Trip with the Dads 🦞 | HALIFAX & PEGGY'S COVE,https://youtu.be/_4zin1w00fg,_4zin1w00fg,_4zin1w00fg,True,1,False,9962,9962,9962,False,2026-02-10,2026-02-10,"[""nova scotia road trip"", ""nova scotia"", ""nova scotia travel"", ""nova scotia trip"", ""visiting nova scotia""]","nova scotia road trip, nova scotia, nova scotia travel, nova scotia trip, visiting nova scotia","nova scotia road trip, nova scotia, nova scotia travel, nova scotia trip, visiting nova scotia",nova scotia road trip,nova scotia,nova scotia travel,nova scotia trip,visiting nova scotia,YouTube,CC-BY-NC-4.0
